Параметры займа,,,,,,,Факторы,,,,,,,,,,,,,,,,,,,,,
Loan issued,Рейтинг,"Comission, %",Earned interest,"Unpaid,  full amount",EL,,учредителю подсказывают / на ВИ другой человек,"На ВИ присутствует ""сотрудник"", в тч за кадром, который отвечает на вопросы","""Сотрудник"" отвечает на вопросы. ГД/учредитель молчит или отвечает редко.",В компании была смена учредителя,учредитель женщина,Первое ЮЛ,Выручка компании в первый год > 30 млн.,Текущее ЮЛ основано до 30 лет,КИ учредителя < 1 млн,Не знает объем выручки,Не знает ФОТ,Не знает контрагентов,"Не знает наценку (рентабельность, прибыль)","Не знает кредиторов ), в тч объем обязательств",Нерелевантный опыт работы,Нелогичный выбор сферы бизнеса,За ответом на вопросы 10-14 просит обратиться к сотруднику,Данные предоставленные заемщиком разнятся с действительностью > 50%,"Есть ""партнер"", который официально не оформлен","Не потребовалось денег для начала бизнеса, тк были договоренности с поставщиками","Офис находится в здании партнера/друга/родственника, аренду не платит.",Заемщик от партнера и был подготовлен к ВИ
3 170 000 ₽,7,"5,30%",211 051 ₽,862 850 ₽,"1,50%",,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
500 000 ₽,17,"6,50%",39 518 ₽,289 518 ₽,"10,00%",,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
11 600 897 ₽,9,"4,50%",537 680 ₽,9 567 386 ₽,"1,50%",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 250 000 ₽,13,"4,50%",233 022 ₽,2 858 022 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3 000 000 ₽,8,"3,75%",216 485 ₽,0 ₽,"0,00%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4 300 000 ₽,9,"6,00%",143 563 ₽,0 ₽,"0,00%",,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1 000 000 ₽,16,"6,50%",69 823 ₽,741 372 ₽,"30,00%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1 020 000 ₽,14,"6,50%",22 902 ₽,964 508 ₽,"1,50%",,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6 000 000 ₽,13,"5,50%",223 228 ₽,4 446 456 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
800 000 ₽,16,"5,00%",51 566 ₽,451 566 ₽,"1,50%",,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 860 000 ₽,16,"6,50%",174 414 ₽,1 912 513 ₽,"1,50%",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 500 000 ₽,18,"6,17%",57 597 ₽,846 687 ₽,"1,50%",,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
2 000 000 ₽,14,"6,50%",150 402 ₽,940 763 ₽,"1,50%",,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 000 000 ₽,9,"3,34%",408 986 ₽,3 208 800 ₽,"1,50%",,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800 000 ₽,10,"6,00%",41 044 ₽,524 129 ₽,"1,50%",,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
4 300 000 ₽,11,"6,00%",359 955 ₽,1 194 985 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2 000 000 ₽,15,"5,20%",85 319 ₽,1 755 956 ₽,"40,00%",,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
8 000 000 ₽,10,"5,48%",526 639 ₽,4 611 812 ₽,"1,50%",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 000 000 ₽,9,"5,86%",225 360 ₽,825 120 ₽,"1,50%",,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1 500 000 ₽,18,"6,00%",52 699 ₽,1 283 097 ₽,"1,50%",,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
650 000 ₽,17,"6,50%",34 249 ₽,501 831 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1 000 000 ₽,7,"5,25%",36 724 ₽,135 531 ₽,"1,50%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9 036 661 ₽,11,"5,72%",476 570 ₽,3 369 398 ₽,"1,50%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1 000 000 ₽,8,"2,50%",14 734 ₽,0 ₽,"0,00%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2 000 000 ₽,10,"7,80%",0 ₽,2 634 648 ₽,"1,50%",,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
629 065 ₽,15,"6,50%",84 398 ₽,0 ₽,"0,00%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 500 000 ₽,6,"3,50%",53 499 ₽,0 ₽,"0,00%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3 500 000 ₽,17,"6,00%",157 168 ₽,2 647 669 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
500 000 ₽,9,"2,00%",8 402 ₽,350 137 ₽,"1,50%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1 000 000 ₽,10,"6,00%",61 763 ₽,460 783 ₽,"1,50%",,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6 140 000 ₽,11,"4,77%",185 258 ₽,3 202 291 ₽,"1,50%",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3 850 000 ₽,13,"6,50%",316 040 ₽,1 441 353 ₽,"1,50%",,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
950 000 ₽,17,"6,50%",81 109 ₽,453 768 ₽,"1,50%",,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5 000 000 ₽,9,"6,00%",232 529 ₽,3 242 208 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2 000 000 ₽,7,"6,00%",67 108 ₽,0 ₽,"0,00%",,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2 000 000 ₽,11,"6,00%",102 610 ₽,1 310 321 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2 000 000 ₽,11,"6,00%",62 542 ₽,1 979 374 ₽,"1,50%",,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 890 000 ₽,9,"4,50%",153 099 ₽,2 483 505 ₽,"10,00%",,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9 792 307 ₽,7,"5,14%",411 323 ₽,6 721 218 ₽,"1,50%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 000 000 ₽,10,"5,13%",128 140 ₽,1 658 818 ₽,"1,50%",,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 430 000 ₽,6,"4,80%",338 424 ₽,1 470 308 ₽,"10,00%",,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2 000 000 ₽,10,"4,50%",55 840 ₽,1 045 486 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1 500 000 ₽,9,"6,00%",64 458 ₽,1 128 916 ₽,"1,50%",,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
4 223 124 ₽,12,"5,26%",176 700 ₽,2 917 987 ₽,"1,50%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 000 000 ₽,15,"5,90%",31 271 ₽,2 177 312 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1 910 000 ₽,12,"6,50%",209 663 ₽,547 388 ₽,"40,00%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 900 000 ₽,12,"5,66%",77 438 ₽,2 569 086 ₽,"1,50%",,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
5 000 000 ₽,3,"3,80%",111 303 ₽,5 807 668 ₽,"1,50%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2 250 000 ₽,15,"5,07%",106 276 ₽,1 326 957 ₽,"1,50%",,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2 680 000 ₽,11,"3,95%",74 342 ₽,2 166 418 ₽,"1,50%",,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6 000 000 ₽,5,"5,00%",124 650 ₽,4 873 949 ₽,"1,50%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
